"",output_0
0,0.4382797802806625
1,0.2006135633711011
2,0.5201200909400654
3,0.35955377447154097
4,0.31029223036389764
5,0.33052846653020745
6,0.5831193791286808
7,0.5921661135304175
8,0.5862855583334773
9,0.5103424621027808
10,0.4727556786492477
11,0.5625572216415087
12,0.6685661656702144
13,0.6558460247460521
14,0.42568122816633136
15,0.4042950727932096
16,0.3136515781238724
17,0.6070743127842169
18,0.4884350021632157
19,0.6399069100356511
20,0.40620452292089654
21,0.2663956922259618
22,0.6258606154511784
23,0.32749902763866223
24,0.39410411732495026
25,0.5887036689311794
26,0.7080553214430825
27,0.4065787191117611
28,0.31886553618769886
29,0.3362446974121405
30,0.3921041307906864
31,0.5553284426605867
32,0.35960301879707185
33,0.423722591731694
34,0.5657555595003174
35,0.224181528781557
36,0.26606117831067005
37,0.26294613264450695
38,0.2091704415029365
39,0.2919019150261736
40,0.679826437052925
41,0.801260531054611
42,0.3730944510808431
43,0.635794592376114
44,0.6007330020334369
45,0.28332522920910314
46,0.5432199451570587
47,0.5133689530358718
48,0.4467239823543325
49,0.4891895580885397
50,0.4304874971950043
51,0.19615002644626495
52,0.3622660371313879
53,0.7508685063987667
54,0.41763910393104137
55,0.12906901787119862
56,0.22144426824833394
57,0.5625572216415087
58,0.5113670697884497
59,0.3601796154791168
60,0.4022604461853351
61,0.2749743727440532
62,0.2330785315742649
63,0.43493475776003554
64,0.40764460230705934
65,0.39462011345811276
66,0.46015279904564577
67,0.6919212388557423
68,0.4644493014774775
69,0.428451709387938
70,0.652823833085215
71,0.27593842522455037
72,0.2536356738291076
73,0.28673261783545445
74,0.3468385661677998
75,0.43317233710013103
76,0.6299208977307821
77,0.48443057035716347
78,0.6452143926385343
79,0.652027993351134
80,0.47368049585803584
81,0.2108165198636094
82,0.4319914745524061
83,0.2862906282355224
84,0.7021979009328633
85,0.2781802266713459
86,0.07222114136086555
87,0.44077328179082076
88,0.3688792023720756
89,0.5690435785533834
90,0.6251090348227164
91,0.35955377447154097
92,0.47582178687428167
93,0.6613731003572814
